time,agl
2013-06-15,0.00024529831716790795
2013-07-15,0.00028549041599035263
2013-08-15,0.00023441933444701135
2013-09-15,0.0002271763951284811
2013-10-15,0.00018627922690939158
2013-11-15,0.00012117804726585746
2013-12-15,9.225788380717859e-05
2014-01-15,7.6775744673796e-05
2014-02-15,7.41610347176902e-05
2014-03-15,0.00010011967970058322
2014-04-15,0.0001482618972659111
2014-05-15,0.00020906873396597803
2014-06-15,0.00024506504996679723
2014-07-15,0.00028521890635602176
2014-08-15,0.00023419639910571277
2014-09-15,0.00022696037194691598
2014-10-15,0.00018610208644531667
2014-11-15,0.00012106281064916402
2014-12-15,9.217015758622438e-05
2015-01-15,7.670266495551914e-05
2015-02-15,7.409044337691739e-05
2015-03-15,0.00010002438648371026
2015-04-15,0.0001481207727920264
