X,Y,Name,description
9.168756,44.983059,Calvignano,
9.027746,45.325966,Calvignasco,
10.344975,45.348179,Calvisano,
9.727464,45.205269,Camairago,
9.42425,45.572076,Cambiago,
9.656349,45.898686,Camerata Cornello,
9.74576,45.443275,Camisano,
9.669459,45.398474,Campagnola Cremasca,
9.319646,45.655977,Camparada,
8.971033,45.968081,Campione d'Italia,
9.351933,46.404196,Campodolcino,
9.244455,45.095462,Campospinoso,
8.59484,45.178758,Candia Lomellina,
8.928439,45.569271,Canegrate,
9.277659,44.938359,Canevino,
9.278757,45.050462,Canneto Pavese,
10.380879,45.152674,Canneto sull'Oglio,
9.541653,45.575677,Canonica d'Adda,
8.895934,45.822477,Cantello,
9.140541,45.729377,Cantu,
9.277242,45.849481,Canzo,
9.64336,45.337572,Capergnanica,
9.12764,45.768978,Capiago Intimiano,
9.56775,45.784482,Capizzone,
10.345862,46.030996,Capo di Ponte,
9.375849,45.566475,Caponago,
10.544472,45.75339,Capovalle,
9.838265,45.246571,Cappella Cantone,
10.229976,45.158573,Cappella de' Picenardi,
9.643258,45.444075,Capralba,
10.132268,45.47478,Capriano del Colle,
9.528752,45.612578,Capriate San Gervasio,
9.481748,45.74528,Caprino Bergamasco,
9.93236,45.635282,Capriolo,
9.235944,45.673676,Carate Brianza,
9.122138,45.87178,Carate Urio,
9.640456,45.498876,Caravaggio,
8.657928,45.878876,Caravate,
9.06155,45.165662,Carbonara al Ticino,
11.2328,45.036579,Carbonara di Po,
8.938138,45.685074,Carbonate,
8.769335,45.648871,Cardano al Campo,
9.462047,45.803482,Carenno,
9.110641,45.702976,Carimate,
9.159535,46.048085,Carlazzo,
8.834235,45.722074,Carnago,
9.376948,45.651577,Carnate,
9.829158,45.665182,Carobbio degli Angeli,
9.78285,46.02139,Carona,
9.046342,45.597773,Caronno Pertusella,
8.831734,45.735774,Caronno Varesino,
10.431277,45.36448,Carpenedolo,
9.272751,45.340869,Carpiano,
9.343749,45.549774,Carugate,
9.196843,45.708477,Carugo,
9.482249,45.703779,Carvico,
9.961668,45.251873,Casalbuttano ed Uniti,
9.714159,45.431875,Casale Cremasco-Vidolasco,
8.741332,45.767874,Casale Litta,
9.617559,45.318071,Casaletto Ceredano,
9.782561,45.419175,Casaletto di Sopra,
9.361954,45.293568,Casaletto Lodigiano,
9.628758,45.408174,Casaletto Vaprio,
10.418883,44.993871,Casalmaggiore,
9.374353,45.35387,Casalmaiocco,
9.899666,45.286373,Casalmorano,
10.404478,45.259577,Casalmoro,
10.474379,45.254777,Casaloldo,
9.649063,45.176868,Casalpusterlengo,
10.369378,45.200675,Casalromano,
8.708828,45.905077,Casalzuigno,
9.213455,45.094462,Casanova Lonati,
9.385341,46.036487,Casargo,
9.105248,45.317767,Casarile,
9.075736,45.943682,Casasco d'Intelvi,
9.311646,45.696378,Casatenovo,
9.131954,45.04906,Casatisma,
9.907258,45.749184,Casazza,
8.783331,45.832476,Casciago,
8.92675,45.007557,Casei Gerola,
9.795567,45.102568,Caselle Landi,
9.359454,45.280568,Caselle Lurani,
9.566255,45.496775,Casirate d'Adda,
9.231441,45.83868,Caslino d'Erba,
9.072639,45.756277,Casnate con Bernate,
9.868556,45.815986,Casnigo,
9.016846,45.312366,Casorate Primo,
8.743434,45.670972,Casorate Sempione,
8.90154,45.52437,Casorezzo,
9.862847,46.263497,Caspoggio,
9.293444,45.738079,Cassago Brianza,
9.513953,45.523575,Cassano d'Adda,
8.826735,45.669173,Cassano Magnago,
8.768429,45.932378,Cassano Valcuvia,
9.612147,45.966787,Cassiglio,
9.35975,45.516374,Cassina de' Pecchi,
9.024538,45.752276,Cassina Rizzardi,
9.478945,45.932085,Cassina Valsassina,
8.906042,45.422467,Cassinetta di Lugagnano,
8.808641,45.361165,Cassolnovo,
9.272457,45.026761,Castana,
8.775436,45.553569,Castano Primo,
9.122354,45.010059,Casteggio,
10.113966,45.560182,Castegnato,
10.974492,45.18798,Castel d'Ario,
9.716459,45.468276,Castel Gabbiano,
10.475379,45.298578,Castel Goffredo,
10.146668,45.507381,Castel Mella,
9.619855,45.552277,Castel Rozzone,
10.89249,45.21208,Castelbelforte,
9.945963,45.501979,Castelcovati,
10.406281,45.069472,Casteldidone,
8.901138,45.612372,Castellanza,
9.761663,45.293872,Castelleone,
9.098452,45.06936,Castelletto di Branduzzo,
9.90286,45.633582,Castelli Calepio,
8.75763,45.893577,Castello Cabiaglio,
